id,title,identifier,score_all,name
1006,Analyste portefeuille de projet / Project Portfolio Analyst...,15-1199.08,0.369940738116087,Business Intelligence Analysts
1007,Business Intelligence - Instructor/Teacher,15-1199.08,0.8247628295709531,Business Intelligence Analysts
1008,Quality Control Senior Analyst – Data Review,15-1199.08,0.8575215109219733,Business Intelligence Analysts
1009,Business Process Analyst,15-1199.08,0.898604669207327,Business Intelligence Analysts
1010,Senior Analyst - Audit and Compliance,15-1199.08,0.8500729208038402,Business Intelligence Analysts
1011,Digital Marketing-Data Analyst,15-1121.00,0.7682386113716756,Computer Systems Analysts
1012,Brother Emerging Talent Associate - Data Analyst / Brother E...,15-1199.08,0.7881101206735696,Business Intelligence Analysts
1013,"Analyst, Data Analytics",15-1199.08,0.8602853268082165,Business Intelligence Analysts
1014,Data Entry Analyst,15-1121.00,0.8570060392785349,Computer Systems Analysts
1015,Data Scientist,15-1111.00,0.8806427489923435,Computer and Information Research Scientists
1016,Machine Learning Engineer,15-1111.00,0.737100787858084,Computer and Information Research Scientists
1017,Data Scientist I,15-1111.00,0.8846822801821487,Computer and Information Research Scientists
1018,Data Scientist,15-1111.00,0.8581394597344171,Computer and Information Research Scientists
1019,Data Scientist,15-1111.00,0.9147192140316063,Computer and Information Research Scientists
1020,Data Scientist,15-1111.00,0.8652562721025091,Computer and Information Research Scientists
1021,Data Scientist - FIFA,15-1111.00,0.8471890541402786,Computer and Information Research Scientists
1022,Data Scientist,15-1111.00,0.8838952381171774,Computer and Information Research Scientists
1023,Data Scientist - Advertising & Attribution,15-1111.00,0.8120218068158842,Computer and Information Research Scientists
1024,Data Scientist,15-1111.00,0.8477331058869199,Computer and Information Research Scientists
1025,Data Scientist,15-1111.00,0.8963419689284147,Computer and Information Research Scientists
1026,Data Scientist,15-1111.00,0.9133987255765283,Computer and Information Research Scientists
1027,Data Scientist,15-1111.00,0.8482055903462815,Computer and Information Research Scientists
1028,Data Scientist I,15-1111.00,0.8846822801821487,Computer and Information Research Scientists
1029,Data and Machine Learning Scientist,15-1111.00,0.9002062262773709,Computer and Information Research Scientists
1030,Data Scientist - RACE21,15-1111.00,0.8457439432723401,Computer and Information Research Scientists
1031,Data Scientist - Planning Team,15-1111.00,0.8021400935934417,Computer and Information Research Scientists
1032,Research Scientist I,15-1111.00,0.9029043403968535,Computer and Information Research Scientists
1033,Junior Data Engineer,15-1199.07,0.8466004004560217,Data Warehousing Specialists
1034,Data Scientist II,15-1111.00,0.8200860846239566,Computer and Information Research Scientists
